P00027739T0000|0 28|Serum gamma glutamyltransferase
P00030183T0000|33 38|HLA-B5
P00030937A0119|13 31|alkaline phosphatase
P00033873T0001|28 31|GGTP
P00052597T0000|9 23|immunoglobulin E
P00054900A0226|0 9|Peroxydase
P00072928T0000|0 13|Serum-ferritin
P00100540T0000|44 66|platelet cyclo-oxygenase
P00101300A0257|46 47|N0
P00150066A0100|52 59|thrombin
P00222102A0227|57 67|vitamin-D-3
P00227610A1593|31 37|DBP mRNA
P00232456T0000|127 143|transforming genes
P00234264A0164|0 26|Gamma glutamyl transpeptidase
P00331936T0000|44 59|immunoperoxidase
P00336547A0000|277 279|C3H
P00431832T0001|42 53|beta receptor
P00453780A0430|155 157|IgA
P00453780A0430|20 22|IgA
P00454780A0340|81 84|Ta 6 V
P00464387A1185|30 32|IgE
P00465681A0000|7 16|hemoglobin
P00499588T0000|49 55|insulin
P00503336A0285|81 99|alkaline phosphatase
P00512215A0000|139 140|L2
P00521732T0000|81 97|steroid sulphatase
P00534613A0000|95 102|collagen
P00593119T0001|42 44|IgE
P00601401A0181|6 15|hemoglobin
P00603783A0647|77 79|IgA
P00603783A0647|19 21|IgM
P00606849T0000|41 53|thromboxane A2
P00618078A0367|14 21|lysozyme
P00622556A0111|16 23|collagen
P00627129A0944|165 191|alpha-and beta-adrenoceptors
P00656008T0000|41 59|superoxide dismutase
P00715753A0241|115 119|CK-MB
P00715753A0241|10 14|CK-MB
P00716366T0001|22 50|alkaline phosphatase isoenzymes
P00725534A0888|139 141|IgA
P00725534A0888|66 68|IgA
P00753237A0000|481 483|PPU
P00792847A0000|21 42|antilymphocyte globulin
P00830568A0000|191 197|STG-BII
P00837811A0675|61 73|gamma globulin
P00846559A0000|187 194|T-2 toxin
P00866577A0579|21 41|plasminogen activators
P00877857A0763|0 11|Serum amylase
P00881630A0000|90 104|Phospholipase-A
P00898500A0246|143 153|IgE antibody
P00918556A0000|49 56|anti-HBs
P00932738A0116|25 26|BP
P00947834X0000|13 15|IgE
P00954819A1041|128 131|AChE
P00956554A0414|95 107|IgE antibodies
P00959656A0250|39 53|antithrombin III
P00970488A0105|75 84|DA receptor
P00985279A0493|15 24|hemoglobin
P00993176A0066|116 125|hemoglobin
P00993176A0066|35 44|hemoglobin
P01000378T0000|33 39|insulin
P01021091T0000|110 120|Octapressin
P01048968A0152|108 121|beta-lactamase
P01078982A0227|69 90|antilymphocyte globulin
P01083375T0000|0 17|Alpha-1 antitrypsin
P01083784T0000|30 32|IgE
P01093845A0208|27 33|Delta-9
P01098592A0567|0 2|IgG
P01116466A0185|45 52|thrombin
P01119658A0000|211 213|N2B
P01130186A0568|47 53|insulin
P01172734T0035|15 22|HL-A W-27
P01224116A0576|63 65|IgG
P01228882A0437|63 80|CSF immunoglobulins
P01256410T0001|16 31|factor II molecule
P01276105A0313|14 20|insulin
P01279352A1197|133 162|beta-galactosidase reporter gene
P01284828T0001|0 25|Tissue plasminogen activator
P01296815A0059|42 50|LD78 gamma
P01309587A0715|118 129|c-myb protein
P01309593A1092|190 210|ribosomal protein genes
P01309815A0972|130 132|AEP
P01309910A0428|74 85|CREB2 protein
P01310154A0879|89 98|FBR protein
P01310154A0879|203 212|FBR protein
P01313894A1179|54 62|LMP2B mRNA
P01313909A0526|18 21|ICP0
P01313909A0526|104 107|ICP0
P01314953A1266|66 69|HAP3
P01316461A1083|67 68|S2
P01316476A1428|40 48|ORF 62 gene
P01316903A0296|96 98|IIO
P01316903A1040|0 15|RNA polymerase IIA
P01317376A0981|0 11|Fructokinase
P01320255A0795|158 164|human L1
P01320640A0336|61 67|insulin
P01321277A0342|141 143|UR2
P01321332A0970|241 245|ARP-1
P01321336A0731|19 26|ALF1 cDNA
P01324385A0329|29 38|anti-HHV-6
P01324385A0329|40 42|IgG
P01324404A0813|114 129|HNF-3 beta protein
P01325221A0870|104 115|p41 MAP kinase
P01326329A0703|266 269|CREs
P01327758A0000|92 111|full-length E2 protein
P01328197A0985|91 93|ras
P01328681A0149|6 24|LTR-binding proteins
P01328681A0149|120 138|LTR-binding proteins
P01328884T0000|40 58|MHC class II molecules
P01329039A0239|126 137|bHLH proteins
P01329039A0951|115 128|Ig kappa E2 E-box
P01330309A1134|37 58|myogenin fusion proteins
P01331086T0000|109 140|GABP-related transcription factors
P01331501A0397|121 124|p130
P01333035T0000|59 86|Escherichia coli RNA polymerase
P01333047A0404|126 135|Nck protein
P01333317A1008|98 102|PRF-I
P01339373T0000|77 93|SNF1 protein kinase
P01346534T0000|43 77|leucine-responsive regulatory protein
P01347664A1026|50 56|CAD mRNA
P01347944A0964|37 68|homeodomain binding site II sequence
P01348590A0000|125 127|CD4
P01350780A0184|72 107|Escherichia coli gamma-glutamyl kinases
P01357190A0726|119 121|CD4
P01358758A0000|149 189|beta-cell-specific transcriptional enhancer
P01358880A0251|52 88|human cellular transglutaminase sequence
P01360294A0000|104 118|antithrombin III
P01371272A1167|72 94|yeast DNA polymerase alpha
P01374392A0341|57 61|NHE-2
P01375224A0152|121 136|cellular proteins
P01375913A0484|94 120|T7 RNA polymerase promoter site
P01378506A0884|16 34|full-deletion mutant
P01383690A1023|105 116|ABL SH2 domain
P01383695A0100|79 98|IgM kappa and IgM lambda
P01384229A0175|239 245|pBLCAT2
P01386897A0000|128 131|CLN2
P01389573A1071|90 91|A2
P01396592A1113|97 110|SCL gene product
P01398068A0948|98 111|RGC DNA sequence
P01398074A0697|75 88|RNase MRP enzyme
P01399206A0375|35 45|collagenase
P01400217T0000|58 61|traF
P01400217T0000|85 88|traF
P01400396A1265|109 126|protein kinase C beta
P01400401A0065|13 32|AMP deaminase variants
P01404401A0740|85 99|chloroplast gene
P01406656A1075|154 165|oncogenic ras
P01407286A0427|146 164|tyrosine hydroxylase
P01409643A0618|205 231|TATA element modulatory factor
P01413984A0737|144 158|antithrombin III
P01413984A0737|190 215|tissue plasminogen activator
P01420177A1065|81 94|protein kinases
P01420363T0000|96 101|TIMP-1
P01421145A1190|79 84|PCAT-1
P01421390T0000|18 79|recombinant human granulocyte-macrophage colony-stimulating factor
P01422265A0263|3 5|IgG
P01422265A0263|85 88|IgG1
P01423454A0309|13 16|ANCA
P01425921A1286|161 164|V1J1
P01426635A0496|18 22|ZFH-2
P01427034A0440|33 53|ribosomal protein genes
P01429624A0328|97 111|adenylylcyclase
P01431380A0244|369 372|SFGR
